"Loading payment form...","Loading payment form..."
"Card Number","Card Number"
"Expiry Date","Expiry Date"
"CVV","CVV"
"Cardholder Name","Cardholder Name"
"Payment failed. Please try again.","Payment failed. Please try again."
"Payment was cancelled.","Payment was cancelled."
"Payment failed or timed out. Please try again.","Payment failed or timed out. Please try again."
"Transaction Code","Transaction Code"
"XPay Nonce","XPay Nonce"
"Payment Method","Payment Method"
"Enable","Enable"
"Title","Title"
"Environment","Environment"
"XPay Alias","XPay Alias"
"MAC Key","MAC Key"
"Accounting Type","Accounting Type"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Sort Order","Sort Order"
"Test","Test"
"Produzione","Production"
"Immediata","Immediate"
"Differita","Deferred"
"Carte di pagamento (XPay)","Payment Cards (XPay)"
"Nexi XPay Build (XPay)","Nexi XPay Build (XPay)"
"XPay nonce is missing. Please retry the payment.","XPay nonce is missing. Please retry the payment."
"Payment declined by the gateway (XPay). Esito: %s","Payment declined by the gateway (XPay). Result: %s"
"Capture failed (XPay). Esito: %s","Capture failed (XPay). Result: %s"
"Refund failed (XPay). Esito: %s","Refund failed (XPay). Result: %s"
"XPay not configured","XPay not configured"
"No active quote found","No active quote found"
"Payment authorized (deferred capture).","Payment authorized (deferred capture)."
"Payment captured.","Payment captured."
"Nexi XPay Build: %s","Nexi XPay Build: %s"
"My Payment Cards","My Payment Cards"
"Use a saved card","Use a saved card"
"-- New card --","-- New card --"
"Save this card for future purchases","Save this card for future purchases"
"Card","Card"
"Expiry","Expiry"
"Gateway","Gateway"
"Actions","Actions"
"Remove","Remove"
"Are you sure you want to remove this card?","Are you sure you want to remove this card?"
"You have no saved payment cards.","You have no saved payment cards."
"Your cards are securely stored, no sensitive information is saved on our servers. You can safely manage your saved cards here, removing those you no longer wish to use. Your saved cards can be used for faster checkout on future purchases.","Your cards are securely stored, no sensitive information is saved on our servers. You can safely manage your saved cards here, removing those you no longer wish to use. Your saved cards can be used for faster checkout on future purchases."
"Exp.","Exp."
"Back","Back"
"Card removed successfully.","Card removed successfully."
"Unable to remove card. Please try again.","Unable to remove card. Please try again."
"Invalid request.","Invalid request."
"Enable OneClick (Saved Cards)","Enable OneClick (Saved Cards)"
"Allows registered customers to save cards for future purchases","Allows registered customers to save cards for future purchases"
"Saved Card (XPay)","Saved Card (XPay)"
"Transaction ID","Transaction ID"
"Accepted credit cards:","Accepted credit cards:"
"Enter your card details:","Enter your card details:"
"Your card data is protected using the PCI DSS v3.2 security standard.","Your card data is protected using the PCI DSS v3.2 security standard."
"The 3-digit security code usually found on the back of your card. American Express cards have a 4-digit code on the front.","The 3-digit security code usually found on the back of your card. American Express cards have a 4-digit code on the front."
"Pay with a saved card:","Pay with a saved card:"
"Use a new card","Use a new card"
"Card details","Card details"
"Credit Card Number","Credit Card Number"
"Expiration Date","Expiration Date (MM/YY)"
"Enter the security code to confirm:","Enter the security code to confirm:"
"CVV info","CVV info"
"SavedCard: gateway_type must be XPAY.","SavedCard: gateway_type must be XPAY."
