"Loading payment form...","Caricamento modulo di pagamento..."
"Card Number","Numero carta"
"Expiry Date","Data di scadenza"
"CVV","CVV"
"Cardholder Name","Intestatario carta"
"Payment failed. Please try again.","Pagamento fallito. Si prega di riprovare."
"Payment was cancelled.","Pagamento annullato."
"Payment failed or timed out. Please try again.","Pagamento fallito o scaduto. Si prega di riprovare."
"Transaction Code","Codice transazione"
"XPay Nonce","XPay Nonce"
"Payment Method","Metodo di pagamento"
"Enable","Abilita"
"Title","Titolo"
"Environment","Ambiente"
"XPay Alias","Alias XPay"
"MAC Key","Chiave MAC"
"Accounting Type","Tipo contabilizzazione"
"Payment from Applicable Countries","Pagamento dai paesi applicabili"
"Payment from Specific Countries","Pagamento da paesi specifici"
"Sort Order","Ordinamento"
"Test","Test"
"Produzione","Produzione"
"Immediata","Immediata"
"Differita","Differita"
"Carte di pagamento (XPay)","Carte di pagamento (XPay)"
"Nexi XPay Build (XPay)","Nexi XPay Build (XPay)"
"My Payment Cards","Le mie carte di pagamento"
"Transaction ID","ID transazione"
"Use a saved card","Usa una carta salvata"
"-- New card --","-- Nuova carta --"
"Save this card for future purchases","Salva questa carta per acquisti futuri"
"Card","Carta"
"Expiry","Scadenza"
"Gateway","Gateway"
"Actions","Azioni"
"Remove","Rimuovi"
"Are you sure you want to remove this card?","Sei sicuro di voler rimuovere questa carta?"
"You have no saved payment cards.","Non hai carte di pagamento salvate."
"Back","Indietro"
"Card removed successfully.","La carta è stata rimossa con successo."
"Unable to remove card. Please try again.","Impossibile rimuovere la carta. Riprova."
"Invalid request.","Richiesta non valida."
"Enable OneClick (Saved Cards)","Abilita OneClick (Carte Salvate)"
"Allows registered customers to save cards for future purchases","Permette ai clienti registrati di salvare le carte per acquisti futuri"
"Saved Card (XPay)","Carta salvata (XPay)"
"Accepted credit cards:","Carte di credito accettate:"
"Enter your card details:","Inserisci i dati della tua carta:"
"Your card data is protected using the PCI DSS v3.2 security standard.","I dati della tua carta sono protetti usando lo standard di sicurezza PCI DSS v3.2."
"The 3-digit security code usually found on the back of your card. American Express cards have a 4-digit code on the front.","Il codice di sicurezza di 3 cifre solitamente indicato sul retro della tua carta. Le carte American Express hanno un codice di 4 cifre posizionato sul fronte."
"Pay with a saved card:","Paga con una carta salvata:"
"Use a new card","Usa una nuova carta"
"Card details","Dati della carta"
"Credit Card Number","Numero carta"
"Expiration Date","Data di scadenza (MM/AA)"
"Enter the security code to confirm:","Inserisci il codice di sicurezza per confermare:"
"CVV info","Info CVV"
"SavedCard: gateway_type must be XPAY.","SavedCard: il tipo gateway deve essere XPAY."
